PATH	NAME	TYPE	NAMESPACE	COMMENT
/firmas	firmas	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma	firma	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/TipoFirma	TipoFirma	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	- TF01 - CSV. - TF02 - XAdES internally detached signature. - TF03 - XAdES enveloped signature. - TF04 - CAdES detached/explicit signature. - TF05 - CAdES attached/implicit signature. - TF06 - PAdES.
/firmas/firma/ContenidoFirma	ContenidoFirma	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/CSV	CSV	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/CSV/ValorCSV	ValorCSV	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/CSV/RegulacionGeneracionCSV	RegulacionGeneracionCSV	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/FirmaConCertificado	FirmaConCertificado	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/FirmaConCertificado/FirmaBase64	FirmaBase64	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/FirmaConCertificado/Signature	Signature	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/FirmaConCertificado/ReferenciaFirma	ReferenciaFirma	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	Referencia interna al fichero que incluye la firma.
/firmas	firmas	complexType	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma	firma	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/TipoFirma	TipoFirma	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	- TF01 - CSV. - TF02 - XAdES internally detached signature. - TF03 - XAdES enveloped signature. - TF04 - CAdES detached/explicit signature. - TF05 - CAdES attached/implicit signature. - TF06 - PAdES.
/firmas/firma/ContenidoFirma	ContenidoFirma	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/CSV	CSV	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/CSV/ValorCSV	ValorCSV	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/CSV/RegulacionGeneracionCSV	RegulacionGeneracionCSV	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/FirmaConCertificado	FirmaConCertificado	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/FirmaConCertificado/FirmaBase64	FirmaBase64	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/FirmaConCertificado/Signature	Signature	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	
/firmas/firma/ContenidoFirma/FirmaConCertificado/ReferenciaFirma	ReferenciaFirma	element	http://administracionelectronica.gob.es/ENI/XSD/v1.0/firma	Referencia interna al fichero que incluye la firma.
