PATH	NAME	TYPE	NAMESPACE	COMMENT
/De_Mensaje	De_Mensaje	element		
/De_Mensaje/Codigo_Entidad_Registral_Origen	Codigo_Entidad_Registral_Origen	element		
/De_Mensaje/Codigo_Entidad_Registral_Destino	Codigo_Entidad_Registral_Destino	element		
/De_Mensaje/Identificador_Intercambio	Identificador_Intercambio	element		
/De_Mensaje/Tipo_Mensaje	Tipo_Mensaje	element		
/De_Mensaje/Descripcion_Mensaje	Descripcion_Mensaje	element		
/De_Mensaje/Numero_Registro_Entrada_Destino	Numero_Registro_Entrada_Destino	element		
/De_Mensaje/Fecha_Hora_Entrada_Destino	Fecha_Hora_Entrada_Destino	element		
/De_Mensaje/Indicador_Prueba	Indicador_Prueba	element		
/De_Mensaje/Identificador_Fichero	Identificador_Fichero	element		
/De_Mensaje/Codigo_Error	Codigo_Error	element		
